ts,tracked50_views,n_videos
2026-08-25T06:55:36+00:00,3433561,46
2026-08-25T06:56:36+00:00,3433567,46
2026-08-25T06:57:36+00:00,3433569,46
2026-08-25T06:58:36+00:00,3433566,46
2026-08-25T06:59:36+00:00,3433570,46
2026-08-25T07:00:36+00:00,3433576,46
2026-08-25T07:01:37+00:00,3433571,46
2026-08-25T07:02:37+00:00,3433576,46
2026-08-25T07:03:37+00:00,3433577,46
2026-08-25T07:04:37+00:00,3433585,46
2026-08-25T07:05:37+00:00,3433582,46
2026-08-25T07:06:37+00:00,3433586,46
2026-08-25T07:07:37+00:00,3433593,46
2026-08-25T07:08:37+00:00,3433590,46
2026-08-25T07:09:37+00:00,3433592,46
2026-08-25T07:10:38+00:00,3433600,46
2026-08-25T07:11:38+00:00,3433596,46
2026-08-25T07:12:38+00:00,3433596,46
2026-08-25T07:13:38+00:00,3433600,46
2026-08-25T07:14:38+00:00,3433603,46
2026-08-25T07:15:38+00:00,3433596,46
2026-08-25T07:16:38+00:00,3433614,46
2026-08-25T07:17:38+00:00,3433603,46
2026-08-25T07:18:38+00:00,3433603,46
2026-08-25T07:19:39+00:00,3433603,46
2026-08-25T07:20:39+00:00,3433603,46
2026-08-25T07:21:39+00:00,3433612,46
2026-08-25T07:22:39+00:00,3433616,46
2026-08-25T07:23:39+00:00,3433620,46
2026-08-25T07:24:39+00:00,3433621,46
2026-08-25T07:25:39+00:00,3433625,46
2026-08-25T07:26:39+00:00,3433625,46
2026-08-25T07:27:39+00:00,3433627,46
2026-08-25T07:28:40+00:00,3433633,46
2026-08-25T07:29:40+00:00,3433635,46
2026-08-25T07:30:40+00:00,3433635,46
2026-08-25T07:31:40+00:00,3433634,46
2026-08-25T07:32:40+00:00,3433636,46
2026-08-25T07:33:40+00:00,3433642,46
2026-08-25T07:34:55+00:00,3433660,46
2026-08-25T07:35:55+00:00,3433660,46
2026-08-25T07:36:55+00:00,3433660,46
2026-08-25T07:37:55+00:00,3433655,46
2026-08-25T07:38:56+00:00,3433672,46
2026-08-25T07:39:56+00:00,3433677,46
2026-08-25T07:40:56+00:00,3433676,46
2026-08-25T07:41:56+00:00,3433676,46
2026-08-25T07:42:56+00:00,3433675,46
2026-08-25T07:43:56+00:00,3433681,46
2026-08-25T07:44:56+00:00,3433690,46
2026-08-25T07:45:57+00:00,3433689,46
2026-08-25T07:46:57+00:00,3433704,46
2026-08-25T07:47:57+00:00,3433712,46
2026-08-25T07:48:57+00:00,3433715,46
2026-08-25T07:49:57+00:00,3433727,46
2026-08-25T07:50:57+00:00,3433728,46
2026-08-25T07:51:57+00:00,3433727,46
2026-08-25T07:52:58+00:00,3433731,46
2026-08-25T07:53:58+00:00,3433737,46
2026-08-25T07:54:58+00:00,3433742,46
2026-08-25T07:55:58+00:00,3433743,46
2026-08-25T07:56:58+00:00,3433745,46
2026-08-25T07:57:58+00:00,3433744,46
2026-08-25T07:58:58+00:00,3433746,46
2026-08-25T07:59:58+00:00,3433751,46
2026-08-25T08:00:59+00:00,3433751,46
2026-08-25T08:02:00+00:00,3433748,46
2026-08-25T08:03:00+00:00,3433751,46
2026-08-25T08:04:00+00:00,3433755,46
